date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,MBB_close,MBB_volume
2022-05-17,1228.37,515009800.0,1279.55,162355800.0,315.44,68076102.0,95.89,42621180.0,11.87,8100400.0
2022-05-18,1240.76,485410300.0,1286.41,159545000.0,309.84,75342743.0,94.73,32402704.0,12.03,8675300.0
2022-05-19,1241.64,435034100.0,1283.55,130418900.0,308.02,72614133.0,94.58,34629272.0,12.08,6247500.0
2022-05-20,1240.71,439345600.0,1282.51,109802300.0,307.02,66503097.0,94.11,56127171.0,12.19,5044800.0
2022-05-23,1218.81,464634600.0,1255.35,139493400.0,300.66,71054526.0,93.63,36710532.0,11.87,6270000.0
2022-05-24,1233.38,451441400.0,1272.71,146286600.0,305.96,75067250.0,93.12,37662468.0,12.12,6690500.0
2022-05-25,1268.43,583626500.0,1310.7,170846100.0,314.91,87855694.0,94.78,47155350.0,12.66,10916300.0
2022-05-26,1268.57,488313100.0,1309.5,127769300.0,313.29,77875708.0,94.95,47268880.0,12.48,7260800.0
2022-05-27,1285.45,545455800.0,1335.68,137794500.0,311.17,64759235.0,95.29,58542799.0,12.64,8373900.0
2022-05-30,1293.92,469531300.0,1342.87,120464900.0,312.77,77327799.0,95.71,46749660.0,12.68,7937900.0
2022-05-31,1292.68,514291400.0,1332.59,126579200.0,315.76,80748728.0,95.45,58386472.0,12.53,5285900.0
2022-06-01,1299.52,471780800.0,1335.49,126583800.0,315.37,68107809.0,95.1,43105965.0,12.46,3928700.0
2022-06-02,1288.62,493377500.0,1325.49,131434900.0,311.77,84534217.0,94.32,50240566.0,12.28,6488000.0
2022-06-03,1287.98,406823300.0,1327.4,99125900.0,310.48,58559149.0,94.17,63272966.0,12.37,5169400.0
2022-06-06,1290.01,515257600.0,1327.04,132090300.0,306.81,74842003.0,93.9,72917766.0,12.3,6941900.0
2022-06-07,1291.35,592865300.0,1324.37,152798700.0,304.15,96000630.0,93.69,66526808.0,12.16,5525200.0
2022-06-08,1307.91,512060100.0,1342.03,161887700.0,310.93,73130000.0,95.0,50399606.0,12.62,11821100.0
2022-06-09,1307.8,408896500.0,1342.92,125435400.0,312.74,48995136.0,94.89,45225696.0,12.55,4534900.0
2022-06-10,1284.08,535867000.0,1325.69,135771600.0,306.44,82180495.0,93.72,87250064.0,12.41,4691800.0
2022-06-13,1227.04,667133200.0,1260.85,198096800.0,288.37,94156944.0,90.53,72699068.0,11.58,16114100.0
2022-06-14,1230.31,492264800.0,1261.16,145861800.0,290.08,60828816.0,90.62,53541213.0,11.51,8736900.0
2022-06-15,1213.93,597693500.0,1253.09,168857200.0,283.25,65928671.0,88.65,56341098.0,11.24,15590400.0
2022-06-16,1236.63,493452200.0,1280.37,156455300.0,287.77,61807974.0,89.25,49638736.0,11.24,7121300.0
2022-06-17,1217.3,647122700.0,1258.03,187300200.0,280.06,80547012.0,87.1,72556457.0,10.52,20939500.0
2022-06-20,1180.4,579954500.0,1225.56,168768300.0,267.92,74964381.0,85.44,119835956.0,10.16,9673800.0
2022-06-21,1172.47,574256800.0,1224.54,172801800.0,264.62,75654736.0,85.03,53579962.0,10.13,6250400.0
2022-06-22,1169.27,491739500.0,1227.18,142695000.0,269.39,69468637.0,85.63,52280074.0,10.58,10465500.0
2022-06-23,1188.88,348627000.0,1240.58,105240000.0,277.18,45067061.0,86.7,34686777.0,10.86,5639300.0
2022-06-24,1185.48,365631700.0,1235.47,90437000.0,275.93,54950308.0,87.1,105982052.0,10.7,3852800.0
2022-06-27,1202.82,399448200.0,1256.67,110597100.0,280.42,49424052.0,88.14,33654828.0,10.88,5586500.0
2022-06-28,1218.1,496605600.0,1273.41,151571400.0,283.87,63152182.0,89.01,40292725.0,11.15,12393600.0
2022-06-29,1218.09,487488100.0,1273.4,113295900.0,282.35,50962049.0,88.88,36632037.0,11.15,8574900.0
2022-06-30,1197.6,445081100.0,1248.92,118013500.0,277.68,55666845.0,88.58,33256037.0,10.92,7182100.0
2022-07-01,1198.9,466693700.0,1252.24,118891000.0,278.88,73862275.0,88.18,130880938.0,10.92,7556500.0
2022-07-04,1195.53,379316900.0,1248.37,112840000.0,281.19,46898023.0,87.9,23770324.0,11.1,6320300.0
