date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,MBB_close,MBB_volume
2021-09-01,1334.65,667074200,1426.94,176638100,343.42,134158328,94.01,101280603,12.59,12748600
2021-09-06,1346.39,874672600,1441.54,208734600,345.63,184905701,94.66,125335339,12.77,17330200
2021-09-07,1341.9,832845900,1444.1,205271300,346.48,169188700,94.7,128243405,12.91,20389000
2021-09-08,1333.61,582036600,1433.71,152206200,347.28,117195072,94.36,78283578,12.77,9354500
2021-09-09,1343.98,568663500,1447.28,166188800,350.44,107199548,94.83,76987126,12.82,10496000
2021-09-10,1345.31,533105300,1448.33,139146600,350.05,120918564,95.41,146553292,12.73,8476400
2021-09-13,1341.43,722319500,1444.99,162870500,349.05,167801093,95.26,111904781,12.59,13797800
2021-09-14,1339.7,672819500,1438.16,148168200,347.86,165167846,95.01,95488703,12.46,9569500
2021-09-15,1345.83,625538600,1444.85,130108600,350.75,169324999,95.81,130530044,12.39,11950800
2021-09-16,1345.87,550023100,1448.98,134634300,353.24,158039410,96.25,108523550,12.55,9774200
2021-09-17,1352.64,785574800,1455.59,188921000,357.97,170223146,97.4,169407039,12.57,9716700
2021-09-20,1350.48,821369200,1458.66,180834700,358.87,184463698,97.45,139231943,12.75,16664500
2021-09-21,1339.84,796167300,1446.22,167219900,358.98,186032038,96.77,116434155,12.64,9451000
2021-09-22,1350.68,707468700,1453.22,122875100,363.43,181337341,97.65,116561149,12.64,9303300
2021-09-23,1352.76,941137100,1458.23,138284900,361.02,198931361,98.37,139101996,12.59,11792100
2021-09-24,1351.17,613583200,1459.94,141119100,359.63,135420149,98.07,165628584,12.96,29129100
2021-09-27,1324.99,704752900,1439.2,148690000,353.01,145857538,95.76,107033274,12.64,9316400
2021-09-28,1339.31,569826500,1451.12,141163200,356.03,135747769,96.01,110069969,12.64,7390700
2021-09-29,1339.21,547814000,1450.52,169808300,354.29,105834165,95.94,63068605,12.55,11106600
2021-09-30,1342.06,423750600,1453.76,118787000,357.33,90790991,96.56,61437771,12.57,6644600
2021-10-01,1334.89,586980600,1441.83,188812300,356.49,114401451,95.98,147007860,12.39,13536400
2021-10-04,1339.54,684922300,1443.61,220195000,360.89,142578738,96.18,113011287,12.23,12211300
2021-10-05,1354.63,558376400,1456.21,152940400,366.5,145035144,96.9,82638219,12.37,9463100
2021-10-06,1362.82,576985600,1461.72,157608000,368.47,98154211,97.38,89851618,12.41,10037200
2021-10-07,1365.99,642146400,1462.74,142851700,370.4,102350938,97.96,99253664,12.48,6438000
2021-10-08,1372.73,583226400,1476.54,137767900,371.92,93761349,98.3,125575743,12.5,8061000
2021-10-11,1394.09,697518700,1510.27,211043700,374.34,93891275,98.8,84242257,13.0,25214700
2021-10-12,1394.8,683357500,1509.57,162655700,375.68,105304905,98.81,100142747,12.98,14875500
2021-10-13,1391.91,582912400,1505.55,137277800,379.34,90792164,98.78,73690857,12.91,9776700
2021-10-14,1391.85,671090900,1503.38,159952700,384.84,104451494,99.28,80580394,12.86,10690200
2021-10-15,1392.7,711550400,1504.84,151731800,384.84,114804809,99.44,157997608,12.82,8189500
2021-10-18,1395.53,741454800,1510.49,167733700,384.88,122617971,99.37,117676505,12.82,8332600
2021-10-19,1395.33,583394100,1507.19,142509300,387.0,107062090,99.6,84625180,12.73,7689400
2021-10-20,1393.8,775436500,1505.03,182022000,388.29,134513222,99.68,108126690,12.73,8937900
2021-10-21,1384.77,660491700,1489.26,166371200,388.45,117472539,99.77,85113045,12.59,10195600
2021-10-22,1389.24,723134800,1488.71,127282900,391.21,151946928,100.36,170525783,12.59,7578900
2021-10-25,1385.4,842037500,1476.97,202649000,395.88,145452317,100.92,100609532,12.46,8955400
2021-10-26,1391.63,667788500,1482.62,143685900,397.81,112083973,101.88,82567460,12.62,6836900
2021-10-27,1423.02,833096300,1516.46,201353000,404.37,136622565,102.67,114437851,12.82,10268400
2021-10-28,1438.01,795476100,1529.26,190779100,411.07,161353272,104.38,122055384,12.86,8781900
2021-10-29,1444.27,904699600,1532.35,197579000,412.12,146529135,105.38,148796509,12.86,10694500
2021-11-01,1438.97,1052909000,1516.75,252416300,415.54,172410817,105.95,136947217,12.82,10652400
2021-11-02,1452.46,942151100,1521.35,186412200,424.11,179246716,106.93,129587443,12.82,8603100
2021-11-03,1444.3,1412338600,1530.65,324556200,415.71,217903339,106.98,172750306,13.16,27447000
2021-11-04,1448.34,863608400,1528.21,173097200,422.42,136633620,107.38,105825111,13.04,10790900
2021-11-05,1456.51,814437100,1531.76,156544900,427.64,145645595,108.2,169668266,12.93,8074100
2021-11-08,1467.57,972340900,1535.66,219015500,432.1,160055390,109.03,126251479,12.86,13607500
2021-11-09,1461.5,971430000,1527.13,210505900,432.64,143997180,109.18,131467818,12.91,12363700
2021-11-10,1465.02,926684900,1523.79,204461200,438.24,151462653,109.66,117348106,12.91,10597900
2021-11-11,1462.35,1172790500,1514.36,258427300,438.73,182580037,109.21,140698743,12.68,12862000
2021-11-12,1473.37,881068600,1527.94,152556600,441.63,163647464,110.66,199410047,12.89,9475500
2021-11-15,1476.57,1115831700,1528.68,232161500,444.28,205943744,111.74,164685885,12.91,12611200
2021-11-16,1466.45,1126970500,1517.22,214948000,452.25,192383427,111.48,126704411,12.93,13885700
2021-11-17,1475.85,801112100,1519.58,165538300,462.95,141008494,112.21,119052370,12.96,6930400
2021-11-18,1469.83,1018526500,1503.42,256828300,468.73,169610273,113.52,146857651,12.77,9336800
2021-11-19,1452.35,1454744900,1500.05,322630600,453.97,251744968,113.24,321165648,12.77,18272600
2021-11-22,1447.25,1179261600,1517.04,274789700,444.62,181714349,111.96,150421865,13.18,23448500
2021-11-23,1463.63,812872100,1533.12,173026700,448.6,117228278,113.03,88283161,13.04,9852000
2021-11-24,1488.87,1030950500,1565.29,371792500,455.58,106888994,114.64,100306721,13.95,43004800
2021-11-25,1500.81,912165600,1572.46,255689400,459.67,107182833,114.61,89578670,13.95,20691000
