date,VNINDEX_close,VNINDEX_volume,VN30_close,VN30_volume,HNXINDEX_close,HNXINDEX_volume,UPCOMINDEX_close,UPCOMINDEX_volume,HPG_close,HPG_volume
2024-03-26,1282.21,813098800,1286.23,210205565.0,242.03,83159375,91.2,31008141.0,23.14,11986416
2024-03-27,1283.09,754700880,1288.77,188560735.0,242.85,78852821,91.18,43744738.0,23.18,24342964
2024-03-28,1290.18,823626900,1303.2,274262664.0,243.92,84073426,91.48,36597746.0,23.14,19124881
2024-03-29,1284.09,735188003,1296.9,217347567.0,242.58,76569922,91.57,42154412.0,22.92,14830426
2024-04-01,1281.52,840172566,1292.62,228103864.0,242.9,97129515,91.33,32505522.0,22.8,20772986
2024-04-02,1287.04,956070829,1292.3,365573781.0,245.9,121533051,91.4,49110891.0,23.03,26310579
2024-04-03,1271.47,947216586,1274.27,257612203.0,243.96,120448255,91.15,50469383.0,22.69,21500994
2024-04-04,1268.25,859418901,1267.65,259280005.0,242.44,99612330,91.01,40546381.0,22.42,26385240
2024-04-05,1255.11,973835575,1257.78,258342983.0,239.68,127477177,90.65,79978183.0,22.31,24030078
2024-04-08,1250.35,733082694,1254.72,222261511.0,238.08,79802058,90.53,39506309.0,22.42,16717695
2024-04-09,1262.82,596807326,1266.92,173440696.0,240.36,79628669,90.57,39572249.0,22.65,9846188
2024-04-10,1258.56,586647926,1263.82,195740068.0,238.79,56960295,90.65,39065742.0,22.46,11145329
2024-04-11,1258.2,592127537,1262.86,169987295.0,239.07,75450066,90.92,29097065.0,22.65,19255412
2024-04-12,1276.6,650322212,1284.74,248493587.0,241.34,75846620,91.21,64830003.0,22.69,13925121
2024-04-15,1216.61,1236066802,1227.9,462725474.0,229.71,163999049,88.98,71889980.0,21.59,31131437
2024-04-16,1215.68,1143433408,1232.7,353528123.0,228.83,135426678,88.63,59105255.0,21.48,33449847
2024-04-17,1193.01,708176858,1210.74,234248894.0,226.2,79970971,88.15,44939576.0,21.21,15597365
2024-04-19,1174.85,951223870,1194.03,300084462.0,220.8,127734425,87.16,66411195.0,21.06,26158064
2024-04-22,1190.22,569603122,1206.64,190045823.0,225.31,75370567,88.02,35491242.0,21.21,12398648
2024-04-23,1177.4,616867057,1200.37,252498198.0,222.63,68327490,87.51,27518105.0,20.91,18376759
2024-04-24,1205.61,628027496,1232.17,215546916.0,227.87,80781811,88.37,25322507.0,21.82,23062837
2024-04-25,1204.97,438347889,1233.72,157774684.0,227.57,55268515,88.33,21720992.0,21.63,11245215
2024-04-26,1209.52,513292300,1240.5,188734337.0,226.82,60403269,88.76,33138435.0,21.52,18314893
2024-05-02,1216.36,467466790,1247.21,167952125.0,227.49,47214937,89.7,22902985.0,21.48,7330111
2024-05-03,1221.03,524649967,1255.62,208947991.0,228.22,55541890,89.78,33255809.0,21.7,16725291
2024-05-06,1241.58,625588584,1274.62,205652713.0,232.29,79659136,90.65,43233229.0,22.2,27119741
2024-05-07,1248.63,550898676,1284.85,169029442.0,232.96,69328648,91.1,42748111.0,22.84,30152936
2024-05-08,1250.46,770816040,1284.85,253788791.0,234.52,100392842,91.57,58012676.0,23.26,34306978
2024-05-09,1248.64,591807969,1281.47,194390060.0,234.58,81571506,91.91,52863216.0,23.07,19434034
2024-05-10,1244.7,556788658,1277.47,166064216.0,235.68,89275813,91.72,61430351.0,23.07,18994649
2024-05-13,1240.18,593968870,1272.53,164004436.0,236.36,77041783,91.48,41224033.0,22.88,13182013
2024-05-14,1243.28,476578584,1277.31,179556934.0,236.95,83128641,91.62,42685083.0,22.88,15673953
2024-05-15,1254.39,704936160,1289.97,225974350.0,238.78,114996547,92.1,47096412.0,23.64,45136493
2024-05-16,1268.78,754095204,1308.27,303395325.0,240.02,99963106,92.7,61312489.0,23.94,27420436
2024-05-17,1273.11,788116698,1310.15,269941977.0,241.54,99491573,93.07,68362672.0,23.94,28657113
2024-05-20,1277.58,900908384,1312.55,289345790.0,242.57,100453397,93.53,61015423.0,24.24,46513904
2024-05-21,1277.14,790140189,1308.62,232915478.0,243.29,107791610,94.45,141550845.0,24.13,20879194
2024-05-22,1266.91,933047509,1291.46,289102183.0,245.15,135338634,94.7,108422141.0,23.71,39799786
2024-05-23,1281.03,788341559,1304.76,229337631.0,246.91,102011429,95.17,93357240.0,24.58,37896846
2024-05-24,1261.93,1179638521,1283.46,397345652.0,241.72,146565266,94.4,135166995.0,24.08,30197105
2024-05-27,1267.68,564137500,1284.88,194124854.0,242.83,64928567,94.87,53222867.0,24.08,15778527
2024-05-28,1281.73,710243600,1299.75,214495238.0,245.58,77629942,95.62,63982635.0,24.29,17576389
2024-05-29,1272.64,937265939,1284.02,247325302.0,244.15,94112678,95.92,85774491.0,23.83,21619795
2024-05-30,1266.32,903973666,1279.29,283100144.0,244.01,137017204,95.8,68002409.0,23.54,27283359
2024-05-31,1261.72,578120347,1275.97,164303863.0,243.09,74940314,95.88,101103272.0,23.83,17748524
2024-06-03,1280.0,881259000,1297.78,282355532.0,244.72,99254463,96.93,58049376.0,24.17,20647812
2024-06-04,1283.52,743646628,1300.99,233863454.0,244.32,82148713,97.0,76273247.0,24.42,39674519
2024-06-05,1284.35,769448301,1299.66,243606113.0,244.49,88769338,97.46,66213108.0,24.37,19207537
2024-06-06,1283.56,751958815,1302.28,270677056.0,244.18,63437175,98.32,66350163.0,24.42,20837091
2024-06-07,1287.58,566497622,1308.03,164173769.0,244.99,75953229,98.86,100116486.0,24.42,14893390
2024-06-10,1290.67,742266776,1311.1,223824060.0,245.58,77759549,99.56,64780810.0,24.42,20270733
2024-06-11,1284.41,815619047,1308.3,277035267.0,246.41,87048604,98.95,72011018.0,24.25,27003982
2024-06-12,1300.19,731047219,1331.81,297153491.0,248.31,76753607,99.14,76612051.0,24.67,19295443
2024-06-13,1301.51,782445017,1333.85,356920322.0,248.36,73776132,99.02,63714899.0,24.58,20563088
2024-06-14,1279.91,964967623,1316.46,313325426.0,243.97,105968295,98.05,111529603.0,24.25,34310393
2024-06-17,1274.77,741570820,1309.7,256244289.0,243.16,68275105,98.09,52393218.0,24.54,34389484
2024-06-18,1279.5,597659348,1309.89,226095617.0,244.43,52019821,98.31,62300935.0,24.5,16545599
2024-06-19,1279.79,727821787,1314.22,265123277.0,243.57,58024953,98.36,55771774.0,24.46,19187496
2024-06-20,1282.3,773355093,1322.36,309960560.0,243.97,66719236,99.27,63225144.0,24.46,27788213
2024-06-21,1282.02,669695755,1319.93,227840302.0,244.36,71306986,100.58,114516620.0,24.21,14297102
2024-06-24,1254.12,1040386525,1289.85,364007809.0,239.74,110018462,99.06,98864811.0,23.92,37872553
2024-06-25,1256.56,520938884,1288.8,203047565.0,240.19,46091425,98.83,57362591.0,23.92,16665373
2024-06-26,1261.24,555550983,1291.3,206768835.0,239.68,48001957,98.9,52015646.0,24.08,19757460
2024-06-27,1259.09,446001676,1289.03,170188698.0,240.07,46697606,98.53,43450153.0,24.04,10087714
2024-06-28,1245.32,635711241,1278.32,234238197.0,237.59,66479458,97.54,82028120.0,23.58,22218009
2024-07-01,1254.56,403842640,1285.48,165196885.0,238.56,48004347,97.3,41132475.0,23.62,13583269
2024-07-02,1269.79,441202337,1296.06,190036901.0,240.8,40100732,97.58,37948423.0,23.92,21287052
2024-07-03,1276.85,469162184,1305.5,200710794.0,241.43,42675195,97.9,37767620.0,23.96,17279452
2024-07-04,1279.89,452214031,1310.63,170979892.0,241.88,45092670,98.26,60853437.0,23.92,9370324
2024-07-05,1283.04,562932141,1316.18,178867189.0,242.31,58097897,98.26,62125681.0,23.87,12379504
2024-07-08,1283.56,620542471,1315.83,207552317.0,243.15,60836806,98.58,53867794.0,24.0,18453505
2024-07-09,1293.71,715099055,1321.78,256120759.0,245.66,66816407,99.25,62832230.0,24.17,22579018
2024-07-10,1285.94,634688932,1310.91,211629452.0,244.54,57530677,98.7,62722422.0,24.12,31001479
2024-07-11,1283.8,595188348,1306.22,197288500.0,245.39,62623969,98.32,45671459.0,24.04,14527557
2024-07-12,1280.75,505651034,1301.81,161682312.0,245.02,51269158,98.14,62457895.0,23.75,18069224
2024-07-15,1279.82,440329239,1297.82,149406219.0,244.84,50526874,97.92,39725996.0,23.71,16310035
2024-07-16,1281.18,598892375,1303.3,202983873.0,244.91,59001076,98.26,61928722.0,23.71,12341155
2024-07-17,1268.66,1092895884,1305.37,462719717.0,240.9,87886370,97.27,91916897.0,23.5,25573686
2024-07-18,1274.44,612004645,1306.38,236975609.0,242.49,50148943,97.61,53843092.0,23.67,20492770
